word,meaning,example
alone,"独自，单独的","She prefers to walk alone in the park."
applicant,申请者,"The applicant submitted all required documents."
village,村庄,"They live in a small village in the mountains."
patient,"病人；耐心的","The doctor treated each patient with care."
instruct,指导；通知,"The teacher instructed students to finish their homework."
satisfy,满意,"The result satisfied all the customers."
disappointed,失望的,"He was disappointed with the exam results."
destroy,摧毁；破坏,"The fire destroyed the old building."
depend,取决/依靠,"Children depend on their parents for support."
punish,惩罚,"The teacher punished the student for cheating."
superior,"上级的；优质的","This product is superior to others on the market."
contrary,相反的,"On the contrary, I agree with your opinion."
attend,参加；出席,"All students must attend the meeting."
describe,描述；形容,"Words cannot describe how beautiful it is."
physics,物理学,"She is studying physics at university."
wonder,"奇迹；想知道","I wonder why he didn't come yesterday."
realize,意识到；实现,"I didn't realize how late it was."
visit,参观；拜访,"We will visit the museum tomorrow."
museum,博物馆,"The museum displays ancient artifacts."
information,信息,"Please contact us for more information."
advice,建议,"My teacher gave me some useful advice."
seem,看起来；似乎,"It seems to be a good opportunity."
experiment,实验,"We conducted an experiment in the lab."
hold,"举办；容纳；控制","The school will hold a sports meeting next week."
use,使用,"Can I use your phone for a moment?"
afford,负担；买得起,"I can't afford to buy such an expensive car."
other,其他的,"Do you have any other questions?"
exist,生存；存在,"Does life exist on other planets?"
program,"程序；节目","The TV program starts at 8 PM."
compete,比赛；竞争,"Athletes compete for gold medals."
vehicle,车辆；交通工具,"Electric vehicles are becoming more popular."
discuss,讨论；商量,"We need to discuss this matter further."
require,要求,"The job requires excellent communication skills."
insist,坚持,"She insisted on paying the bill."
progress,进步,"You are making great progress in English."
something,一些,"There is something I need to tell you."
ever,曾经,"Have you ever been to Japan?"
drama,戏剧,"She enjoys watching drama series."
instead,相反地；代替,"Let's stay home instead of going out."
invite,邀请,"They invited us to their wedding."
pleasant,愉快的,"We had a pleasant evening together."
moving,感人的,"The movie was so moving that I cried."
notice,"公告；注意到","Did you notice the sign on the wall?"
volunteer,志愿者,"She works as a volunteer at the hospital."
method,方法；方式,"What method do you use to learn vocabulary?"
mind,"思想；介意；照顾","Would you mind opening the window?"
survive,幸存；存活,"Few buildings survived the earthquake."
hard,努力；艰难的,"She works hard to support her family."
improve,提升；改善,"Exercise can improve your health."
include,包含；列入,"The price includes breakfast and dinner."
suffer,经受；遭受；受苦,"Many people suffer from allergies in spring."
research,研究,"According to the research, sleep is important."
fail,失败,"He failed in the exam last time."
similar,相似的,"Your bag is similar to mine."
unlike,不像,"Unlike his brother, he is very quiet."
raise,"提高；养育；升起","The company raised salaries this year."
produce,生产,"The factory produces 1000 cars daily."
consider,认为；考虑,"Have you considered studying abroad?"
break away,离开；逃脱,"The prisoner broke away from the guards."
break down,"身体坏了；失灵；垮掉","The car broke down on the highway."
break in,"闯入；插嘴；打断","Someone tried to break into the house."
break into,闯入；打断,"Thieves broke into the bank last night."
break off,中止；中断,"They decided to break off the negotiations."
break out,爆发（战争；火）,"War broke out in 1939."
break through,突围；突破,"Scientists broke through in cancer research."
break up,"解散；终止；分手","The police broke up the fight."
break up with sb.,和某人分手,"She broke up with her boyfriend."
break up a friendship,终结一段友谊,"Don't let money break up a friendship."
break up a marriage,结束一段婚姻,"Infidelity can break up a marriage."
bring along,带来,"Feel free to bring along a friend."
bring about,导致；引起,"The new policy brought about many changes."
bring down,打倒；降低,"The scandal brought down the government."
bring out,"出版；推出；使明显","The company brought out a new product."
bring up,教育；培养,"She was brought up by her grandmother."
bring forth,产生；发表；提出,"The meeting brought forth many good ideas."
bring into,使开始；使…进入状态,"The new law was brought into effect."
bring into effect,实行；使生效,"The new rules will be brought into effect next month."
call off,取消,"They called off the meeting due to rain."
call for,要求；需要,"This problem calls for immediate action."
call in,请来,"We should call in an expert."
call on,号召；拜访某人,"The teacher called on me to answer."
call up,"打电话；回忆起；召集","I'll call you up tonight."
call out,喊出,"He called out for help."
carry on,继续,"Please carry on with your work."
carry out,执行；贯彻,"We must carry out the plan."
carry into effect,施行；使生效,"The policy was carried into effect."
check in,办理登记手续,"Please check in at the front desk."
check out,结账离开,"We need to check out by 11 AM."
come around,苏醒；顺便来访,"Come around for dinner sometime."
come round,苏醒；顺便来访,"He finally came round after fainting."
come off,"举行；成功；进展","The event came off successfully."
come on,"出现；发表；结果是","Come on, we're late!"
come out,"出版；结果是；出来","The truth finally came out."
come through,经历了…才活着,"He came through the surgery."
come to,"苏醒；总计；涉及","The bill came to $50."
come up,"出现；走上前来","A problem came up at work."
come across,偶然遇到,"I came across an old friend yesterday."
come up with,提出,"She came up with a great idea."
come into effect,生效；实施,"The law comes into effect tomorrow."
come true,实现,"Her dream finally came true."
count on,依靠；指望,"You can count on me."
count up,算出总数；共计,"Let me count up the total."
count down,倒计时,"Everyone counted down to midnight."
cut across,抄近路穿过,"We cut across the park."
cut down,"砍倒；削减；减少","We need to cut down on expenses."
cut off,"切断；阻隔","The storm cut off the power."
drop by,顺便来访,"Feel free to drop by anytime."
drop in,顺便来访,"I'll drop in later."
drop off,"睡着；让下车；下降","I'll drop you off at the station."
drop out,"退出；退学；离队","He dropped out of college."
get across,被了解,"I couldn't get my point across."
get along/on with,相处,"How do you get along with your boss?"
get down,"写下；驯服","Get down what I say."
get down to doing,着手,"Let's get down to business."
get off,"下车；幸免于难","Get off at the next stop."
get over,"恢复；克服；解决","It took me weeks to get over the flu."
get through,"完成；度过；被理解","I can't get through to him."
get hold of,抓住；掌握,"I need to get hold of the manager."
get rid of,丢弃；摆脱,"Let's get rid of this old furniture."
get up,起床,"I get up at 6 AM every day."
give away,赠送；泄露,"He gave away all his money to charity."
give back,归还,"Please give back the book you borrowed."
give in,"认输；让步；屈服；交上","Don't give in to pressure."
give off,释放；放出,"The flowers give off a sweet smell."
give out,"分发；用尽；筋疲力尽","They gave out free samples."
give up,"停止；放弃；辞去","Never give up on your dreams."
give rise to doing,引起；导致,"The decision gave rise to many complaints."
go after,追逐,"The dog went after the cat."
go along with,赞同；支持,"I go along with your suggestion."
go down,"下降；减少；流传下去","The sun goes down in the west."
go for,"同意；选择；追求；适用","I'll go for the red one."
go in for,"爱好；参加","She goes in for swimming."
go into,仔细调查；从事,"Let's go into the details."
go on,"爆炸；响起；继续","What's going on here?"
go out,"熄灭；过时","The fire went out."
go over,"检查；审查；复习","Let's go over the plan again."
go through,"遭受；经历","She went through a difficult time."
go up,"上升；增长；被炸毁","Prices keep going up."
go without,没有…而将就,"We had to go without electricity."
go ahead,开始；进行,"Go ahead and start without me."
go wrong,"出错；出故障","Something went wrong with the computer."
hand down/on,传递某物,"This ring was handed down from my grandmother."
hand in,"交上；递交","Please hand in your homework."
hand out,"分发；散发","They handed out flyers."
hand over,交出；移交,"He was forced to hand over the money."
hang up,挂断（电话）,"She hung up without saying goodbye."
hang about,闲荡,"Don't hang about after school."
hang around,闲荡,"They hang around the mall."
hold back,"克制；阻挡；隐瞒","She couldn't hold back her tears."
hold on,"坚持；别挂断","Hold on, I'll be right there."
