word,meaning,example
alone,"独自，单独的","She prefers to walk alone in the park."
applicant,申请者,"The applicant submitted all required documents."
village,村庄,"They live in a small village in the mountains."
patient,"病人；耐心的","The doctor treated each patient with care."
instruct,指导；通知,"The teacher instructed students to finish their homework."
satisfy,满意,"The result satisfied all the customers."
disappointed,失望的,"He was disappointed with the exam results."
destroy,摧毁；破坏,"The fire destroyed the old building."
depend,取决/依靠,"Children depend on their parents for support."
punish,惩罚,"The teacher punished the student for cheating."
superior,"上级的；优质的","This product is superior to others on the market."
contrary,相反的,"On the contrary, I agree with your opinion."
attend,参加；出席,"All students must attend the meeting."
describe,描述；形容,"Words cannot describe how beautiful it is."
physics,物理学,"She is studying physics at university."
wonder,"奇迹；想知道","I wonder why he didn't come yesterday."
realize,意识到；实现,"I didn't realize how late it was."
visit,参观；拜访,"We will visit the museum tomorrow."
museum,博物馆,"The museum displays ancient artifacts."
information,信息,"Please contact us for more information."
advice,建议,"My teacher gave me some useful advice."
seem,看起来；似乎,"It seems to be a good opportunity."
experiment,实验,"We conducted an experiment in the lab."
hold,"举办；容纳；控制","The school will hold a sports meeting next week."
use,使用,"Can I use your phone for a moment?"
afford,负担；买得起,"I can't afford to buy such an expensive car."
other,其他的,"Do you have any other questions?"
exist,生存；存在,"Does life exist on other planets?"
program,"程序；节目","The TV program starts at 8 PM."
compete,比赛；竞争,"Athletes compete for gold medals."
vehicle,车辆；交通工具,"Electric vehicles are becoming more popular."
discuss,讨论；商量,"We need to discuss this matter further."
require,要求,"The job requires excellent communication skills."
insist,坚持,"She insisted on paying the bill."
progress,进步,"You are making great progress in English."
something,一些,"There is something I need to tell you."
ever,曾经,"Have you ever been to Japan?"
drama,戏剧,"She enjoys watching drama series."
instead,相反地；代替,"Let's stay home instead of going out."
invite,邀请,"They invited us to their wedding."
pleasant,愉快的,"We had a pleasant evening together."
moving,感人的,"The movie was so moving that I cried."
notice,"公告；注意到","Did you notice the sign on the wall?"
volunteer,志愿者,"She works as a volunteer at the hospital."
method,方法；方式,"What method do you use to learn vocabulary?"
mind,"思想；介意；照顾","Would you mind opening the window?"
survive,幸存；存活,"Few buildings survived the earthquake."
hard,努力；艰难的,"She works hard to support her family."
improve,提升；改善,"Exercise can improve your health."
include,包含；列入,"The price includes breakfast and dinner."
suffer,经受；遭受；受苦,"Many people suffer from allergies in spring."
research,研究,"According to the research, sleep is important."
fail,失败,"He failed in the exam last time."
similar,相似的,"Your bag is similar to mine."
unlike,不像,"Unlike his brother, he is very quiet."
raise,"提高；养育；升起","The company raised salaries this year."
produce,生产,"The factory produces 1000 cars daily."
consider,认为；考虑,"Have you considered studying abroad?"
