phrase,meaning,example
make out,"写出；辨认出","I can't make out what this says."
make up,"构成；捏造；化妆","The story is completely made up."
make up for,补偿；弥补,"He worked hard to make up for lost time."
make off,离开；逃跑,"The thief made off with the money."
make a/the difference,有影响；起作用,"Your support makes a difference."
make fun of,取笑；嘲弄,"Don't make fun of others."
make sense,"讲道理；言之有理","That doesn't make sense to me."
make sure,查明；务必,"Make sure you lock the door."
make the best of,充分利用,"Let's make the best of this situation."
make the most of,充分利用,"Make the most of your opportunity."
make up one's mind,下决心；打定主意,"She made up her mind to study abroad."
make use of,使用；利用,"We should make use of available resources."
pass on,传递；传达,"Please pass on this message."
pass by,经过,"I pass by this shop every day."
pay back,"偿还；回报；报复","I'll pay you back next week."
pay off,"还清；取得好结果","His hard work paid off."
pay for,"付款；偿还","I'll pay for dinner."
pay in cash,用现金支付,"Do you accept payment in cash?"
pick out,辨认出；挑选,"She picked out a nice dress."
put aside,储存；保留,"Put aside some money for emergencies."
put away,放好；收好,"Put away your toys."
put down,"记下；镇压","Put down your thoughts in a journal."
put forward,提出（建议）,"He put forward a new proposal."
put in,"花费；付出；申请","She put in a lot of effort."
put on,"穿上；上演；增加","Put on your coat, it's cold."
put out,熄灭,"Firefighters put out the blaze."
put up,"建造；粘贴；举起","They put up a new building."
put up with,忍受；容忍,"I can't put up with this noise."
put off,推迟,"Don't put off until tomorrow."
refer to,提到；参考,"The book refers to ancient history."
refer to...as,把…称作,"We refer to him as the boss."
run into,遇到；偶然碰见,"I ran into an old friend."
run out of,耗尽,"We ran out of milk."
run over,"压过去；溢出","The car ran over a dog."
see about,办理；安排,"I'll see about getting tickets."
see through,看穿；识破,"I saw through his lies."
see (sb) off,送别某人,"We went to see her off at the airport."
set aside,"留出；不理会","Set aside some time for exercise."
set down,"写下；记下","Set down your ideas."
set off,出发,"We set off early in the morning."
set out,"动身；开始；阐明","They set out on a journey."
set up,"建立；建造；开业","He set up his own business."
set about,开始；着手,"Let's set about solving this problem."
show off,炫耀；卖弄,"He likes to show off his wealth."
show up,来到；露面,"She didn't show up to the meeting."
stand by,"旁观；支持；遵守","I'll stand by you no matter what."
stand for,"是…的缩写；代表","What does USA stand for?"
stand out,引人注目,"Her talent stands out."
stand up,（论点）站得住脚,"His argument doesn't stand up."
take after,与…相像,"She takes after her mother."
take apart,拆卸；拆开,"He took apart the engine."
take effect,生效,"The medicine will take effect soon."
take sth for granted,想当然；不以为然,"Don't take anything for granted."
take in,"欺骗；领会；吸收","I was taken in by his story."
take off,"飞起；脱衣服；成功","The plane took off on time."
take on,"承担；呈现；雇用","Don't take on too much work."
take over,接管；借用,"She took over the company."
take to,喜欢；从事,"He took to swimming immediately."
take up,"开始从事；占据","Golf takes up all his weekends."
take into account,把…考虑进去,"Take all factors into account."
take into consideration,把…考虑进去,"We'll take your suggestion into consideration."
